#    L    TT             EE             BB             TE          
   295    0.41200E+04    0.80290E+01    0.23677E-01    0.11370E+03
   296    0.40876E+04    0.81965E+01    0.23797E-01    0.11419E+03
   297    0.40550E+04    0.83639E+01    0.23916E-01    0.11466E+03
   298    0.40223E+04    0.85336E+01    0.24035E-01    0.11508E+03
   299    0.39895E+04    0.87046E+01    0.24153E-01    0.11546E+03
   300    0.39566E+04    0.88756E+01    0.24271E-01    0.11581E+03
   301    0.39237E+04    0.90481E+01    0.24388E-01    0.11612E+03
   302    0.38907E+04    0.92212E+01    0.24504E-01    0.11641E+03
   303    0.38577E+04    0.93958E+01    0.24620E-01    0.11666E+03
   304    0.38246E+04    0.95718E+01    0.24735E-01    0.11686E+03
   305    0.37915E+04    0.97478E+01    0.24849E-01    0.11703E+03
   306    0.37583E+04    0.99244E+01    0.24963E-01    0.11717E+03
   307    0.37251E+04    0.10102E+02    0.25076E-01    0.11726E+03
   308    0.36920E+04    0.10281E+02    0.25188E-01    0.11734E+03
   309    0.36589E+04    0.10460E+02    0.25300E-01    0.11736E+03
   310    0.36257E+04    0.10639E+02    0.25411E-01    0.11735E+03
   311    0.35927E+04    0.10820E+02    0.25522E-01    0.11730E+03
   312    0.35597E+04    0.11000E+02    0.25631E-01    0.11722E+03
   313    0.35267E+04    0.11181E+02    0.25741E-01    0.11709E+03
   314    0.34937E+04    0.11363E+02    0.25849E-01    0.11694E+03
   315    0.34609E+04    0.11543E+02    0.25957E-01    0.11674E+03
   316    0.34281E+04    0.11725E+02    0.26064E-01    0.11651E+03
   317    0.33954E+04    0.11906E+02    0.26171E-01    0.11624E+03
   318    0.33628E+04    0.12088E+02    0.26277E-01    0.11593E+03
   319    0.33303E+04    0.12269E+02    0.26382E-01    0.11559E+03
   320    0.32980E+04    0.12451E+02    0.26487E-01    0.11522E+03
   321    0.32658E+04    0.12633E+02    0.26591E-01    0.11480E+03
   322    0.32337E+04    0.12814E+02    0.26695E-01    0.11435E+03
   323    0.32017E+04    0.12994E+02    0.26798E-01    0.11386E+03
   324    0.31699E+04    0.13176E+02    0.26900E-01    0.11333E+03
   325    0.31383E+04    0.13354E+02    0.27002E-01    0.11278E+03
   326    0.31068E+04    0.13534E+02    0.27103E-01    0.11217E+03
   327    0.30755E+04    0.13713E+02    0.27203E-01    0.11154E+03
   328    0.30445E+04    0.13891E+02    0.27303E-01    0.11088E+03
   329    0.30135E+04    0.14069E+02    0.27402E-01    0.11017E+03
   330    0.29828E+04    0.14245E+02    0.27501E-01    0.10943E+03
