#    L    TT             EE             BB             TE             PP             TP             EP          
   188    0.52755E+04    0.68852E+00    0.00000E+00   -0.26960E+02    0.53346E-07    0.17347E-03   -0.49680E-06
   189    0.52936E+04    0.68093E+00    0.00000E+00   -0.25999E+02    0.53053E-07    0.17200E-03   -0.48278E-06
   190    0.53115E+04    0.67379E+00    0.00000E+00   -0.25014E+02    0.52761E-07    0.17054E-03   -0.46846E-06
   191    0.53286E+04    0.66712E+00    0.00000E+00   -0.24003E+02    0.52472E-07    0.16909E-03   -0.45388E-06
   192    0.53452E+04    0.66094E+00    0.00000E+00   -0.22968E+02    0.52186E-07    0.16767E-03   -0.43908E-06
   193    0.53613E+04    0.65529E+00    0.00000E+00   -0.21910E+02    0.51902E-07    0.16625E-03   -0.42408E-06
   194    0.53770E+04    0.65021E+00    0.00000E+00   -0.20828E+02    0.51621E-07    0.16486E-03   -0.40893E-06
   195    0.53921E+04    0.64573E+00    0.00000E+00   -0.19723E+02    0.51341E-07    0.16347E-03   -0.39365E-06
   196    0.54066E+04    0.64189E+00    0.00000E+00   -0.18595E+02    0.51065E-07    0.16211E-03   -0.37827E-06
   197    0.54207E+04    0.63873E+00    0.00000E+00   -0.17444E+02    0.50790E-07    0.16075E-03   -0.36285E-06
   198    0.54342E+04    0.63627E+00    0.00000E+00   -0.16272E+02    0.50518E-07    0.15941E-03   -0.34739E-06
   199    0.54473E+04    0.63455E+00    0.00000E+00   -0.15077E+02    0.50248E-07    0.15808E-03   -0.33195E-06
   200    0.54598E+04    0.63360E+00    0.00000E+00   -0.13861E+02    0.49980E-07    0.15676E-03   -0.31655E-06
   201    0.54718E+04    0.63348E+00    0.00000E+00   -0.12624E+02    0.49715E-07    0.15545E-03   -0.30122E-06
   202    0.54832E+04    0.63419E+00    0.00000E+00   -0.11366E+02    0.49452E-07    0.15415E-03   -0.28597E-06
   203    0.54940E+04    0.63579E+00    0.00000E+00   -0.10087E+02    0.49190E-07    0.15286E-03   -0.27080E-06
   204    0.55042E+04    0.63830E+00    0.00000E+00   -0.87900E+01    0.48931E-07    0.15158E-03   -0.25570E-06
   205    0.55139E+04    0.64177E+00    0.00000E+00   -0.74725E+01    0.48675E-07    0.15032E-03   -0.24068E-06
   206    0.55229E+04    0.64623E+00    0.00000E+00   -0.61359E+01    0.48420E-07    0.14906E-03   -0.22573E-06
   207    0.55314E+04    0.65170E+00    0.00000E+00   -0.47806E+01    0.48167E-07    0.14781E-03   -0.21086E-06
   208    0.55391E+04    0.65824E+00    0.00000E+00   -0.34072E+01    0.47917E-07    0.14658E-03   -0.19606E-06
   209    0.55463E+04    0.66587E+00    0.00000E+00   -0.20159E+01    0.47668E-07    0.14535E-03   -0.18134E-06
   210    0.55529E+04    0.67464E+00    0.00000E+00   -0.60771E+00    0.47421E-07    0.14414E-03   -0.16670E-06
   211    0.55589E+04    0.68457E+00    0.00000E+00    0.81739E+00    0.47177E-07    0.14293E-03   -0.15213E-06
   212    0.55641E+04    0.69570E+00    0.00000E+00    0.22585E+01    0.46934E-07    0.14173E-03   -0.13763E-06
   213    0.55689E+04    0.70806E+00    0.00000E+00    0.37155E+01    0.46694E-07    0.14055E-03   -0.12321E-06
   214    0.55730E+04    0.72166E+00    0.00000E+00    0.51875E+01    0.46455E-07    0.13937E-03   -0.10886E-06
   215    0.55765E+04    0.73668E+00    0.00000E+00    0.66735E+01    0.46219E-07    0.13820E-03   -0.94588E-07
   216    0.55793E+04    0.75294E+00    0.00000E+00    0.81741E+01    0.45984E-07    0.13705E-03   -0.80387E-07
   217    0.55816E+04    0.77058E+00    0.00000E+00    0.96874E+01    0.45751E-07    0.13590E-03   -0.66259E-07
   218    0.55832E+04    0.78962E+00    0.00000E+00    0.11213E+02    0.45520E-07    0.13476E-03   -0.52204E-07
   219    0.55843E+04    0.81005E+00    0.00000E+00    0.12753E+02    0.45291E-07    0.13363E-03   -0.38222E-07
   220    0.55848E+04    0.83201E+00    0.00000E+00    0.14303E+02    0.45064E-07    0.13252E-03   -0.24312E-07
   221    0.55846E+04    0.85544E+00    0.00000E+00    0.15864E+02    0.44839E-07    0.13141E-03   -0.10475E-07
   222    0.55839E+04    0.88048E+00    0.00000E+00    0.17435E+02    0.44615E-07    0.13030E-03    0.32910E-08
   223    0.55825E+04    0.90705E+00    0.00000E+00    0.19017E+02    0.44394E-07    0.12921E-03    0.16985E-07
   224    0.55806E+04    0.93515E+00    0.00000E+00    0.20606E+02    0.44174E-07    0.12813E-03    0.30608E-07
