#    L    TT             EE             BB             TE          
   364    0.14770E+05    0.19312E+02    0.31144E-01    0.66320E+02
   365    0.14720E+05    0.19420E+02    0.31236E-01    0.64628E+02
   366    0.14670E+05    0.19525E+02    0.31328E-01    0.62918E+02
   367    0.14619E+05    0.19626E+02    0.31421E-01    0.61192E+02
   368    0.14567E+05    0.19725E+02    0.31513E-01    0.59452E+02
   369    0.14515E+05    0.19820E+02    0.31605E-01    0.57694E+02
   370    0.14462E+05    0.19913E+02    0.31698E-01    0.55926E+02
   371    0.14409E+05    0.20001E+02    0.31790E-01    0.54142E+02
   372    0.14356E+05    0.20087E+02    0.31883E-01    0.52347E+02
   373    0.14302E+05    0.20169E+02    0.31976E-01    0.50538E+02
   374    0.14248E+05    0.20248E+02    0.32070E-01    0.48719E+02
   375    0.14193E+05    0.20324E+02    0.32163E-01    0.46890E+02
   376    0.14138E+05    0.20396E+02    0.32257E-01    0.45050E+02
   377    0.14083E+05    0.20465E+02    0.32350E-01    0.43204E+02
   378    0.14027E+05    0.20529E+02    0.32445E-01    0.41347E+02
   379    0.13972E+05    0.20591E+02    0.32539E-01    0.39484E+02
   380    0.13916E+05    0.20650E+02    0.32634E-01    0.37614E+02
   381    0.13860E+05    0.20703E+02    0.32729E-01    0.35738E+02
   382    0.13803E+05    0.20754E+02    0.32824E-01    0.33858E+02
   383    0.13746E+05    0.20800E+02    0.32919E-01    0.31972E+02
   384    0.13690E+05    0.20843E+02    0.33015E-01    0.30083E+02
   385    0.13633E+05    0.20883E+02    0.33112E-01    0.28191E+02
   386    0.13575E+05    0.20919E+02    0.33208E-01    0.26298E+02
   387    0.13518E+05    0.20951E+02    0.33305E-01    0.24403E+02
   388    0.13461E+05    0.20979E+02    0.33402E-01    0.22508E+02
   389    0.13403E+05    0.21001E+02    0.33500E-01    0.20613E+02
   390    0.13346E+05    0.21022E+02    0.33598E-01    0.18720E+02
   391    0.13288E+05    0.21039E+02    0.33697E-01    0.16828E+02
   392    0.13230E+05    0.21053E+02    0.33796E-01    0.14939E+02
   393    0.13173E+05    0.21063E+02    0.33895E-01    0.13053E+02
   394    0.13115E+05    0.21068E+02    0.33995E-01    0.11172E+02
